1	6	13	r2	l4
2	8	13	r3	l1	v6
3	11	13	r5	l2
4	4	12	r1	l7
5	13	12	r8	l3
6	8	11	v10	V2
7	2	10	r4	l12	N9
8	15	10	r15	l5	p11
9	4	9	N13	n7
10	8	9	v16	V6
11	12	9	p14	P8
12	1	8	r7	l17
13	6	8	N16	n9
14	10	8	p16	P11
15	16	8	r20	l8
16*	8	7	V10	P14	N19	v22	p18	n13
17	1	6	r12	l24
18	6	6	P16	p21
19	10	6	n16	N23
20	16	6	r25	l15
21	4	5	P18	p24
22	8	5	V16	v26
23	12	5	n19	N25
24	2	4	r17	l27	P21
25	15	4	r28	l20	n23
26	8	3	V22	v30
27	4	2	r24	l29
28	13	2	r31	l25
29	6	1	r27	l30
30	8	1	r29	l31	V26
31	11	1	r30	l28
