1	2.75	7.7	r2	l4				
2	4	7.95	r3	l1	v6			
3	5.25	7.7	r5	l2				
4	1.75	7	r1	l7				
5	6.5	7	r8	l3				
6	4	6.8	v10	V2				
7	1	6	r4	l12	N9			
8	7.25	6	r15	l5	p11			
9	2	5.5	N13	n7				
10	4	5.65	v16	V6				
11	6	5.5	p14	P8				
12	0.5	5	r7	l17				
13	3	5	N16	n9				
14	5	5	p16	P11				
15	7.75	5	r20	l8				
16*	4	4.5	V10	P14	N19	v22	p18	n13
17	0.5	4	r12	l24				
18	3	4	P16	p21				
19	5	4	n16	N23				
20	7.75	4	r25	l15				
21	2	3.5	P18	p24				
22	4	3.35	V16	v26				
23	6	3.5	n19	N25				
24	1	3	r17	l27	P21			
25	7.25	3	r28	l20	n23			
26	4	2.2	V22	v30				
27	1.75	2	r24	l29				
28	6.5	2	r31	l25				
29	2.75	1.3	r27	l30				
30	4	1.05	r29	l31	V26			
31	5.5	1.3	r30	l28				
